208
256
10	1
10	9	
10	11
10	26
12	2	
12	11
12	13
12	27
14	3
14	13
14	15
14	28
16	4
16	15
16	17
16	29
18	5
18	17
18	19
18	30
20	6
20	19
20	21
20	31
22	7
22	21
22	23
22	32
24	8
24	23
24	25
24	33
35	26
35	34
35	36
35	51
37	27
37	36
37	38
37	52
39	28
39	38
39	40
39	53
41	29
41	40
41	42
41	54
43	30
43	42
43	44
43	55
45	31
45	44
45	46
45	56
47	32
47	46
47	48
47	57
49	33
49	48
49	50
49	58
60	51
60	59
60	61
60	76
62	52
62	61
62	63
62	77
64	53
64	63
64	65
64	78
66	54
66	65
66	67
66	79
68	55
68	67
68	69
68	80
70	56
70	69
70	71
70	81
72	57
72	71
72	73
72	82
74	58
74	73
74	75
74	83
85	76
85	84
85	86
85	101
87	77
87	86
87	88
87	102
89	78
89	88
89	90
89	103
91	79
91	90
91	92
91	104
93	80
93	92
93	94
93	105
95	81
95	94
95	96
95	106
97	82
97	96
97	98
97	107
99	83
99	98
99	100
99	108
110	101
110	109	
110	111
110	126
112	102	
112	111
112	113
112	127
114	103
114	113
114	115
114	128
116	104
116	115
116	117
116	129
118	105
118	117
118	119
118	130
120	106
120	119
120	121
120	131
122	107
122	121
122	123
122	132
124	108
124	123
124	125
124	133
135	126
135	134
135	136
135	151
137	127
137	136
137	138
137	152
139	128
139	138
139	140
139	153
141	129
141	140
141	142
141	154
143	130
143	142
143	144
143	155
145	131
145	144
145	146
145	156
147	132
147	146
147	148
147	157
149	133
149	148
149	150
149	158
160	151
160	159
160	161
160	176
162	152
162	161
162	163
162	177
164	153
164	163
164	165
164	178
166	154
166	165
166	167
166	179
168	155
168	167
168	169
168	180
170	156
170	169
170	171
170	181
172	157
172	171
172	173
172	182
174	158
174	173
174	175
174	183
185	176
185	184
185	186
185	201
187	177
187	186
187	188
187	202
189	178
189	188
189	190
189	203
191	179
191	190
191	192
191	204
193	180
193	192
193	194
193	205
195	181
195	194
195	196
195	206
197	182
197	196
197	198
197	207
199	183
199	198
199	200
199	208
